booking_id,user_id,studio_id,start_time,end_time,purpose,status,total_cost,created_at
1,37,2,2024-09-14 14:45:12,2024-09-14 20:45:12,Репетиция хора,created,5143.32,2024-09-10 08:08:12
2,65,16,2025-06-18 18:03:47,2025-06-19 00:03:47,Репетиция хора,completed,19840.89,2025-06-17 08:33:47
3,78,16,2025-08-26 04:42:31,2025-08-26 09:42:31,Индивидуальная репетиция,cancelled,18576.80,2025-08-07 00:56:31
4,46,6,2025-05-03 21:52:49,2025-05-04 03:52:49,Прослушивание,completed,29581.53,2025-04-13 08:59:49
5,13,14,2024-01-25 20:31:01,2024-01-26 01:31:01,Индивидуальная репетиция,created,11431.20,2024-01-02 19:19:01
6,35,7,2024-11-17 02:08:03,2024-11-17 08:08:03,Репетиция малого состава,completed,38112.65,2024-11-09 19:36:03
7,48,7,2025-10-21 06:53:36,2025-10-21 12:53:36,Подготовка ансамбля,cancelled,39866.94,2025-09-27 06:08:36
8,40,7,2025-05-29 16:48:08,2025-05-29 20:48:08,Подготовка ансамбля,cancelled,25955.00,2025-05-12 10:28:08
9,35,7,2025-02-28 15:16:15,2025-02-28 18:16:15,Подготовка к экзамену,confirmed,19390.17,2025-02-06 02:21:15
10,54,16,2024-07-24 16:04:05,2024-07-24 21:04:05,Репетиция хора,completed,16348.45,2024-07-08 12:49:05
11,44,6,2024-08-19 11:56:15,2024-08-19 14:56:15,Подготовка к экзамену,completed,16249.38,2024-07-27 08:12:15
12,38,7,2025-03-11 16:14:45,2025-03-11 22:14:45,Аранжировка материала,cancelled,37525.79,2025-03-02 12:07:45
13,54,7,2024-11-02 18:37:04,2024-11-02 21:37:04,Репетиция хора,cancelled,21775.13,2024-10-08 06:28:04
14,5,18,2024-03-02 17:12:55,2024-03-02 20:12:55,Репетиция хора,cancelled,3859.68,2024-02-02 09:31:55
15,61,6,2025-10-05 10:08:18,2025-10-05 15:08:18,Репетиция хора,created,24597.80,2025-09-26 01:24:18
16,11,11,2025-04-01 03:18:48,2025-04-01 05:18:48,Сольная репетиция,confirmed,4266.74,2025-03-24 02:36:48
17,17,6,2024-03-19 03:49:31,2024-03-19 07:49:31,Занятие по вокалу,created,22958.97,2024-03-07 16:19:31
18,54,6,2025-03-03 19:18:55,2025-03-03 21:18:55,Подготовка к концерту,created,9518.98,2025-02-17 08:19:55
19,37,6,2024-08-11 10:38:08,2024-08-11 13:38:08,Репетиция малого состава,completed,14278.47,2024-08-01 00:35:08
20,8,7,2025-02-19 23:57:41,2025-02-20 05:57:41,Подготовка ансамбля,completed,39847.64,2025-01-26 22:59:41
21,33,16,2025-12-26 17:34:45,2025-12-26 18:34:45,Подготовка к концерту,cancelled,3269.69,2025-11-29 10:44:45
22,15,16,2025-11-08 20:40:36,2025-11-08 23:40:36,Репетиция хора,completed,14739.00,2025-10-10 20:40:36
23,44,5,2024-09-17 13:38:15,2024-09-17 16:38:15,Сольная репетиция,cancelled,5886.39,2024-09-02 03:04:15
24,39,18,2025-10-23 08:54:12,2025-10-23 13:54:12,Репетиция малого состава,cancelled,6432.80,2025-10-08 04:42:12
25,9,6,2024-12-22 18:47:08,2024-12-23 00:47:08,Индивидуальная репетиция,confirmed,28556.94,2024-12-13 07:36:08
26,61,16,2025-03-17 08:12:32,2025-03-17 14:12:32,Аранжировка материала,confirmed,21563.14,2025-02-20 05:01:32
27,70,16,2025-10-04 16:12:27,2025-10-04 20:12:27,Прослушивание,confirmed,13589.69,2025-09-17 11:07:27
28,53,6,2024-04-19 13:11:43,2024-04-19 17:11:43,Репетиция хора,confirmed,19037.96,2024-04-08 10:11:43
29,28,7,2024-07-26 17:08:05,2024-07-26 20:08:05,Аранжировка материала,completed,22811.61,2024-07-16 07:22:05
30,2,14,2025-06-22 10:08:33,2025-06-22 12:08:33,Подготовка к концерту,created,4572.48,2025-06-20 00:01:33
31,23,7,2025-01-25 15:39:37,2025-01-25 21:39:37,Занятие по вокалу,completed,37127.31,2024-12-31 10:55:37
32,50,18,2024-10-12 19:30:53,2024-10-13 00:30:53,Подготовка к концерту,created,6432.80,2024-10-04 16:22:53
33,13,16,2025-04-15 19:47:32,2025-04-15 22:47:32,Подготовка к концерту,cancelled,10323.71,2025-04-01 08:12:32
34,62,16,2025-10-03 14:21:53,2025-10-03 16:21:53,Репетиция малого состава,created,6539.38,2025-09-08 10:38:53
35,47,16,2025-02-12 12:09:14,2025-02-12 16:09:14,Занятие по вокалу,cancelled,13078.76,2025-01-26 00:46:14
36,73,6,2025-10-06 01:28:05,2025-10-06 06:28:05,Аранжировка материала,confirmed,26318.22,2025-09-06 17:16:05
37,41,6,2025-10-26 00:46:25,2025-10-26 05:46:25,Запись демо,confirmed,25222.86,2025-10-10 23:03:25
38,58,7,2025-11-29 12:30:43,2025-11-29 17:30:43,Подготовка к концерту,cancelled,32277.57,2025-11-14 00:27:43
39,11,7,2025-03-14 08:03:59,2025-03-14 09:03:59,Репетиция малого состава,completed,11006.59,2025-02-24 00:20:59
40,23,2,2024-07-16 23:25:34,2024-07-17 00:25:34,Занятие по вокалу,created,857.22,2024-06-22 19:48:34
41,5,7,2024-02-19 20:34:15,2024-02-20 01:34:15,Подготовка к концерту,completed,35946.43,2024-02-17 18:35:15
42,3,7,2025-08-20 14:40:41,2025-08-20 16:40:41,Запись учебного проекта,created,12330.02,2025-07-26 03:54:41
43,78,7,2025-11-23 15:39:45,2025-11-23 19:39:45,Занятие по вокалу,completed,24914.37,2025-11-08 09:15:45
44,54,14,2025-02-23 05:17:08,2025-02-23 07:17:08,Подготовка ансамбля,completed,4572.48,2025-02-02 00:10:08
45,79,7,2024-04-09 05:55:18,2024-04-09 11:55:18,Индивидуальная репетиция,created,41921.47,2024-04-01 05:07:18
46,79,7,2025-07-12 20:52:59,2025-07-13 01:52:59,Занятие по специальности,cancelled,34343.43,2025-06-28 12:28:59
