booking_id,amount,payment_date,payment_method,status
2,19840.89,2025-06-17 12:26:47,transfer,paid
3,18576.80,2025-08-08 06:25:31,cash,failed
4,29801.34,2025-05-01 16:23:49,card,paid
5,11441.53,2024-01-03 15:23:01,cash,pending
6,38112.65,2024-11-11 04:38:03,cash,paid
7,39866.94,2025-09-27 23:52:36,card,failed
8,26054.93,2025-05-29 23:27:08,transfer,refunded
9,19576.75,2025-02-25 12:20:15,cash,paid
10,16348.45,2024-07-22 12:02:05,card,paid
11,16249.38,2024-08-16 06:52:15,cash,paid
12,37525.79,2025-03-12 01:35:45,card,refunded
13,21775.13,2024-11-04 02:24:04,card,refunded
14,3966.20,2024-03-01 08:00:55,cash,refunded
15,24661.90,2025-09-26 13:21:18,cash,pending
16,4266.74,2025-03-25 00:03:48,card,pending
17,22958.97,2024-03-07 18:42:31,transfer,pending
19,14278.47,2024-08-08 10:08:08,transfer,paid
20,40020.43,2025-02-17 20:18:41,transfer,paid
21,3269.69,2025-12-24 22:46:45,cash,refunded
23,5971.52,2024-09-18 16:35:15,cash,refunded
24,6432.80,2025-10-23 16:04:12,cash,refunded
25,28556.94,2024-12-14 05:45:08,card,pending
26,21563.14,2025-02-20 11:34:32,card,pending
27,13605.14,2025-09-18 00:50:27,cash,pending
28,19037.96,2024-04-17 09:43:43,card,paid
29,22826.77,2024-07-25 15:15:05,transfer,paid
31,37292.03,2025-01-23 09:58:37,card,paid
33,10323.71,2025-04-02 15:49:32,cash,failed
34,6539.38,2025-09-09 03:31:53,cash,pending
35,13078.76,2025-02-12 08:45:14,card,refunded
36,26318.22,2025-09-07 02:26:05,transfer,pending
37,25287.29,2025-10-24 00:37:25,card,paid
38,32277.57,2025-11-29 00:09:43,cash,refunded
39,11187.42,2025-03-13 02:19:59,cash,paid
41,36147.10,2024-02-18 20:14:15,card,paid
43,24914.37,2025-11-21 14:26:45,card,paid
44,4572.48,2025-02-21 03:08:08,transfer,paid
46,34343.43,2025-07-11 08:26:59,card,refunded
47,18558.16,2024-04-23 09:17:19,cash,failed
49,38840.36,2025-05-10 13:09:42,transfer,failed
51,38585.60,2025-09-06 18:32:28,card,failed
54,9951.04,2025-01-09 04:41:28,transfer,failed
55,30363.06,2024-11-20 00:48:13,transfer,refunded
56,12769.76,2025-10-12 14:18:45,cash,pending
57,5402.08,2024-10-31 01:29:57,card,failed
58,4875.60,2025-04-19 06:04:15,transfer,paid
59,3766.02,2024-05-26 06:25:05,cash,paid
60,16760.20,2024-05-02 15:30:04,transfer,failed
61,10948.61,2024-08-17 08:44:16,cash,pending
63,31113.22,2024-07-02 03:37:08,transfer,paid
64,6838.79,2024-08-24 17:41:29,cash,paid
66,13583.34,2025-02-17 09:44:15,transfer,failed
67,25323.52,2025-07-04 19:07:43,cash,failed
68,33174.17,2024-06-23 02:04:22,card,failed
70,37281.20,2024-04-16 22:36:57,card,paid
71,1378.99,2025-02-11 06:23:54,card,refunded
74,2286.24,2024-01-14 01:20:41,transfer,refunded
75,13627.66,2025-02-19 16:47:55,card,pending
76,11433.62,2025-12-04 19:38:17,cash,paid
77,11226.51,2024-07-14 08:11:58,card,paid
78,21241.54,2025-02-21 10:26:14,card,paid
80,41401.01,2024-02-14 11:17:29,card,paid
81,20984.27,2025-08-30 10:39:03,card,paid
82,28556.94,2025-11-04 00:24:44,transfer,paid
83,5397.39,2025-11-21 09:26:05,card,failed
84,1286.56,2024-08-31 22:27:10,transfer,refunded
85,3352.17,2025-12-13 11:12:02,card,pending
86,16348.45,2025-06-09 11:04:47,cash,refunded
88,17787.35,2024-02-29 19:20:58,transfer,refunded
89,19618.14,2024-01-15 16:40:44,card,pending
91,7562.30,2024-08-14 15:50:21,card,paid
