equipment_id,review_id,rating,comment
69,1,8,
82,1,7,
22,2,6,Требуется небольшая настройка
33,2,9,Хорошее рабочее состояние
46,2,10,Очень удобно в работе
84,2,9,Понравилось качество звука
25,3,5,
11,4,8,В целом всё хорошо
22,5,8,Оборудование помогло на занятии
33,5,8,В целом всё хорошо
41,5,7,С задачей справилось
84,5,7,Нормально для учебной работы
12,6,10,
14,6,8,Оборудование помогло на занятии
16,6,8,
17,6,9,Хорошее рабочее состояние
21,6,9,Понравилось качество звука
23,6,7,Нормально для учебной работы
27,6,7,
29,6,9,Хорошее рабочее состояние
40,6,8,В целом всё хорошо
43,6,7,Нормально для учебной работы
44,6,8,В целом всё хорошо
62,7,6,Можно пользоваться
82,8,9,
69,9,9,Нареканий почти нет
82,9,8,Оборудование помогло на занятии
51,10,6,Можно пользоваться
56,10,8,
22,11,6,Состояние среднее
46,11,8,Для репетиции подошло
84,11,5,Работает не всегда стабильно
73,12,9,
36,13,5,Работает не всегда стабильно
42,13,8,Оборудование помогло на занятии
63,13,6,Для короткой репетиции нормально
36,14,10,
49,15,9,Понравилось качество звука
36,16,7,Есть мелкие следы износа
25,17,6,Требуется небольшая настройка
48,18,10,
25,19,5,Лучше проверить перед занятием
65,20,9,Нареканий почти нет
41,21,6,Требуется небольшая настройка
73,22,8,
24,23,8,В целом всё хорошо
30,23,9,Нареканий почти нет
39,23,8,Оборудование помогло на занятии
2,24,7,
20,24,7,С задачей справилось
69,25,6,Можно пользоваться
82,25,10,Очень удобно в работе
2,26,9,Использовать было удобно
3,26,7,
63,26,7,Есть мелкие следы износа
33,27,7,Работает без серьёзных проблем
84,27,6,
18,28,10,Звук чистый и ровный
46,29,6,Требуется небольшая настройка
33,30,7,Есть мелкие следы износа
41,30,8,
1,31,7,С задачей справилось
64,31,7,С задачей справилось
78,31,6,Можно пользоваться
33,32,8,
45,33,8,Для репетиции подошло
53,33,8,В целом всё хорошо
65,34,6,Состояние среднее
10,35,9,
18,35,7,Есть мелкие следы износа
33,36,7,Работает без серьёзных проблем
41,36,10,Отличное состояние
53,37,9,
52,38,5,Нужна профилактика
76,38,9,Хорошее рабочее состояние
24,39,6,Состояние среднее
38,39,9,
70,39,8,Работает стабильно
12,40,10,Очень удобно в работе
63,41,8,Для репетиции подошло
54,42,7,
22,43,6,Состояние среднее
41,43,9,Использовать было удобно
46,43,6,Можно пользоваться
84,43,9,
2,44,10,Звук чистый и ровный
24,44,6,Состояние среднее
56,45,8,В целом всё хорошо
22,46,9,
44,47,7,Нормально для учебной работы
69,48,9,Нареканий почти нет
82,48,7,С задачей справилось
31,49,8,
62,49,8,В целом всё хорошо
80,49,7,Работает без серьёзных проблем
25,50,7,Есть мелкие следы износа
68,51,5,
2,52,9,Хорошее рабочее состояние
66,52,6,Для короткой репетиции нормально
41,53,10,Работало безупречно
76,54,7,
12,55,7,Нормально для учебной работы
31,56,6,Требуется небольшая настройка
73,56,7,Нормально для учебной работы
11,57,10,
1,58,7,Нормально для учебной работы
59,58,10,Звук чистый и ровный
50,59,10,Отличное состояние
16,60,7,
29,60,6,Состояние среднее
48,60,9,Использовать было удобно
25,61,7,С задачей справилось
45,62,7,
56,62,8,Для репетиции подошло
2,63,8,Для репетиции подошло
12,64,8,Для репетиции подошло
56,65,10,
22,66,7,Есть мелкие следы износа
33,66,6,Состояние среднее
41,66,7,Нормально для учебной работы
84,66,7,
45,67,7,С задачей справилось
53,67,9,Использовать было удобно
54,67,5,Есть заметные неудобства
63,67,6,
31,68,9,Хорошее рабочее состояние
64,69,8,Для репетиции подошло
69,70,10,Очень удобно в работе
82,70,7,
22,71,7,Есть мелкие следы износа
84,71,8,Оборудование помогло на занятии
69,72,8,В целом всё хорошо
35,73,7,
83,73,6,Требуется небольшая настройка
14,74,10,Очень удобно в работе
44,74,10,Работало безупречно
38,75,7,
73,75,8,Оборудование помогло на занятии
22,76,9,Хорошее рабочее состояние
14,77,10,Очень удобно в работе
89,77,9,
48,78,10,Звук чистый и ровный
57,78,6,Требуется небольшая настройка
54,79,8,В целом всё хорошо
80,79,8,
22,80,6,Для короткой репетиции нормально
3,81,8,Работает стабильно
80,81,6,Можно пользоваться
65,82,9,
40,83,10,Отличное состояние
49,83,6,Состояние среднее
35,84,7,Есть мелкие следы износа
77,84,7,
89,85,9,Нареканий почти нет
54,86,5,Работает не всегда стабильно
25,87,7,Работает без серьёзных проблем
50,88,9,
69,89,7,Работает без серьёзных проблем
82,89,6,Требуется небольшая настройка
12,90,7,С задачей справилось
