review_id,studio_id,user_id,comment,created_at,studio_rating
1,13,28,,2025-09-07 21:07:14,7
2,6,50,"Хорошая изоляция, посторонний шум почти не мешал",2024-11-22 06:35:43,9
3,14,54,Удобно для занятий с концертмейстером,2025-02-27 02:37:08,9
4,1,35,Репетиция прошла без накладок,2024-09-27 12:57:10,6
5,6,37,"Хорошая изоляция, посторонний шум почти не мешал",2024-08-13 05:02:08,9
6,16,15,"Хорошая изоляция, посторонний шум почти не мешал",2025-11-12 02:40:36,8
7,7,17,"Хотелось бы чуть лучшее проветривание, но в целом хорошо",2024-10-24 03:39:59,7
8,13,36,Хороший класс для индивидуальной работы,2024-09-03 07:51:29,9
9,13,28,Для занятия по вокалу помещение подошло хорошо,2025-09-01 12:39:14,7
10,7,23,Хороший класс для индивидуальной работы,2025-02-01 09:20:37,8
11,6,37,Для занятия по вокалу помещение подошло хорошо,2024-03-12 20:23:07,8
12,7,21,"Небольшая аудитория, но для задачи подходит",2024-04-16 19:30:11,8
13,7,8,Есть всё необходимое для репетиции,2025-02-21 10:26:41,8
14,7,17,,2024-10-20 18:16:59,7
15,16,9,После небольшой настройки работать стало удобно,2025-08-13 13:30:42,5
16,7,26,Оборудование в целом в рабочем состоянии,2025-03-20 03:03:14,9
17,14,54,Хороший класс для индивидуальной работы,2025-02-28 14:55:08,7
18,16,72,"Бронировали для подготовки к концерту, всё прошло удачно",2024-02-09 03:33:17,5
19,14,51,Репетиция прошла без накладок,2024-05-13 03:38:56,10
20,12,18,Понравилось расположение и освещение,2024-07-16 22:24:58,6
21,6,46,Удобно для занятий с концертмейстером,2025-05-10 12:01:49,8
22,7,78,Зал оказался удобным для ансамбля,2025-11-30 17:08:45,6
23,7,11,Для занятия по вокалу помещение подошло хорошо,2025-03-19 07:34:59,7
24,7,78,Зал оказался удобным для ансамбля,2025-11-27 01:39:45,7
25,13,28,Удобно для занятий с концертмейстером,2025-09-05 07:07:14,8
26,7,61,"Хотелось бы чуть лучшее проветривание, но в целом хорошо",2024-04-23 16:31:57,8
27,6,18,Есть всё необходимое для репетиции,2025-05-19 03:55:15,8
28,7,13,Хороший класс для индивидуальной работы,2024-12-28 16:57:49,9
29,6,46,,2025-05-10 00:04:49,7
