maintenance_id,responsible_user_id,equipment_id,maintenance_date,maintenance_type,maintenance_cost,description
1,19,5,2025-04-22,Мелкий ремонт,14723.08,"Проведена диагностика, выполнена проверка работоспособности узлов"
2,33,5,2024-10-30,Настройка,7398.43,Проведены работы по устранению посторонних шумов и дребезга
3,33,13,2023-02-21,Чистка,10374.66,
4,47,13,2023-09-12,Регулировка механики,8207.72,Проведены работы по устранению посторонних шумов и дребезга
5,69,16,2025-06-02,Восстановление контактов,9237.52,Оборудование подготовлено к дальнейшей эксплуатации
6,65,16,2025-05-23,Чистка,9514.98,Оборудование подготовлено к дальнейшей эксплуатации
7,12,28,2025-08-16,Восстановление контактов,6867.54,
8,56,28,2023-04-06,Плановое обслуживание,10955.97,Проверены подключения и обновлены расходные материалы
9,48,35,2023-02-11,Восстановление контактов,6669.61,Проверены подключения и обновлены расходные материалы
10,68,35,2024-10-01,Мелкий ремонт,1770.93,Проведена профилактика перед учебным семестром
11,71,40,2023-05-12,Настройка,15745.77,"Заменены изношенные элементы, работоспособность восстановлена"
12,21,40,2025-04-16,Мелкий ремонт,1442.90,Проведены работы по устранению посторонних шумов и дребезга
13,43,45,2024-02-19,Плановое обслуживание,12770.49,Проверены подключения и обновлены расходные материалы
14,12,45,2025-06-05,Калибровка,6345.65,Оборудование подготовлено к дальнейшей эксплуатации
15,63,49,2024-06-05,Регулировка механики,9447.62,Проверены подключения и обновлены расходные материалы
16,43,49,2025-08-13,Замена кабеля,7049.35,Оборудование подготовлено к дальнейшей эксплуатации
17,56,57,2025-04-12,Диагностика,5742.52,Проведены работы по устранению посторонних шумов и дребезга
18,65,57,2025-08-28,Настройка,13144.56,Проверены подключения и обновлены расходные материалы
19,42,64,2025-04-04,Регулировка механики,8146.22,Выполнена чистка и базовая настройка оборудования
20,47,64,2025-02-22,Замена кабеля,8246.06,Проведена профилактика перед учебным семестром
21,12,69,2025-08-28,Замена расходников,8595.53,"Заменены изношенные элементы, работоспособность восстановлена"
22,21,69,2025-09-02,Замена расходников,15638.61,Проведена профилактика перед учебным семестром
23,64,72,2024-02-21,Восстановление контактов,9962.77,Проведены работы по устранению посторонних шумов и дребезга
24,42,72,2025-08-31,Плановое обслуживание,9783.04,"Заменены изношенные элементы, работоспособность восстановлена"
25,69,72,2023-08-22,Восстановление контактов,13967.12,
26,55,75,2025-09-11,Диагностика,15350.63,Выполнена регулировка и тестирование после жалобы пользователей
27,33,75,2024-02-03,Восстановление контактов,11141.20,Выполнена чистка и базовая настройка оборудования
28,24,79,2024-01-17,Замена кабеля,8783.55,Проведены работы по устранению посторонних шумов и дребезга
29,47,79,2025-10-01,Плановое обслуживание,4274.24,"Проведена диагностика, выполнена проверка работоспособности узлов"
30,24,90,2025-10-20,Замена расходников,3826.95,
31,69,90,2023-01-31,Плановое обслуживание,15584.84,Выполнена регулировка и тестирование после жалобы пользователей
