equipment_id,studio_id,equipment_name,equipment_type,status,description
1,5,Цифровое пианино Casio,Пианино,available,"Цифровое пианино Casio. Инструмент подходит для индивидуальных занятий, аккомпанемента и камерных репетиций. Находится в рабочем состоянии и доступно для регулярного использования."
2,7,Пюпитр,Пюпитр,available,Пюпитр. Устойчивый пюпитр для нотных материалов на занятиях и репетициях. Находится в рабочем состоянии и доступно для регулярного использования.
3,7,Радиосистема для вокала,Радиосистема,available,Радиосистема для вокала. Беспроводная система для вокала и сценических выступлений в учебных помещениях. Находится в рабочем состоянии и доступно для регулярного использования.
4,20,Синтезатор Yamaha,Синтезатор,available,"Синтезатор Yamaha. Клавишный инструмент для занятий, аранжировок и работы с электронным звучанием. Находится в рабочем состоянии и доступно для регулярного использования."
5,8,Педаль сустейна,Педаль,maintenance,"Педаль сустейна. Педаль для клавишных инструментов, используется при индивидуальных занятиях. Требует настройки или профилактики перед активной эксплуатацией."
6,7,Метроном цифровой,Метроном,available,Метроном цифровой. Цифровой метроном для отработки темпа и ритмической устойчивости. Находится в рабочем состоянии и доступно для регулярного использования.
7,7,Метроном цифровой 7,Метроном,available,Метроном цифровой 7. Цифровой метроном для отработки темпа и ритмической устойчивости. Находится в рабочем состоянии и доступно для регулярного использования.
8,11,Профессиональная акустическая система,Акустическая система,booked,"Профессиональная акустическая система. Комплект звукового усиления для репетиций, прослушиваний и небольших выступлений. Сейчас закреплено за бронированиями, но пригодно для планового использования."
9,19,Конденсаторный микрофон Audio-Technica,Микрофон,available,"Конденсаторный микрофон Audio-Technica. Микрофон для вокала, записи учебных демо и работы с речевым материалом. Находится в рабочем состоянии и доступно для регулярного использования."
10,7,Радиосистема для вокала 10,Радиосистема,broken,Радиосистема для вокала 10. Беспроводная система для вокала и сценических выступлений в учебных помещениях. Временно не используется до ремонта или замены неисправных элементов.
11,1,Акустическое пианино Petrof,Пианино,available,"Акустическое пианино Petrof. Инструмент подходит для индивидуальных занятий, аккомпанемента и камерных репетиций. Находится в рабочем состоянии и доступно для регулярного использования."
12,16,Гитарный усилитель Marshall,Усилитель,available,Гитарный усилитель Marshall. Усилитель для инструментальных занятий и репетиций малых составов. Находится в рабочем состоянии и доступно для регулярного использования.
13,7,Метроном цифровой 13,Метроном,maintenance,Метроном цифровой 13. Цифровой метроном для отработки темпа и ритмической устойчивости. Требует настройки или профилактики перед активной эксплуатацией.
14,16,Тюнер,Тюнер,booked,"Тюнер. Компактный тюнер для настройки инструментов перед занятием или репетицией. Сейчас закреплено за бронированиями, но пригодно для планового использования."
15,11,Ударная установка Tama,Ударная установка,broken,Ударная установка Tama. Комплект ударных инструментов для занятий и ансамблевых репетиций. Временно не используется до ремонта или замены неисправных элементов.
