studio_id,studio_name,capacity,description,hourly_cost,status
1,Класс камерного ансамбля,22,Учебное музыкальное помещение университета,2081.76,maintenance
2,Вокальная студия №1,7,"Класс для постановки голоса, распевок и индивидуальных уроков вокала",857.22,available
3,Вокальная студия №2,11,"Класс для постановки голоса, распевок и индивидуальных уроков вокала",1001.09,occupied
4,Репетиционная аудитория А,8,Помещение для репетиций малых составов и подготовки концертных номеров,1350.52,available
5,Репетиционная аудитория Б,20,Помещение для репетиций малых составов и подготовки концертных номеров,1799.13,available
6,Камерный зал,56,"Зал для камерных выступлений, академических прослушиваний и занятий ансамбля",4759.49,occupied
7,Актовый зал,130,"Крупное помещение для концертов, отчетных выступлений и репетиций крупных составов",6165.01,occupied
8,Хоровой класс,35,Просторный класс для репетиций хора и групповых вокальных занятий,1870.46,inactive
9,Фортепианный класс №1,9,Небольшой класс для индивидуальных занятий и работы с концертмейстером,1050.21,maintenance
10,Фортепианный класс №2,7,Небольшой класс для индивидуальных занятий и работы с концертмейстером,1119.25,available
11,Студия звукозаписи,15,"Специализированное помещение для записи, сведения и работы с электронными инструментами",2133.37,inactive
12,Лаборатория электронной музыки,11,"Специализированное помещение для записи, сведения и работы с электронными инструментами",3727.67,available
13,Класс ударных инструментов,14,Акустически подготовленный класс для занятий на ударных инструментах,2254.03,maintenance
14,Класс духовых инструментов,15,Учебная аудитория для занятий по специальности и ансамблевой работы,2286.24,available
15,Класс струнных инструментов,10,Учебная аудитория для занятий по специальности и ансамблевой работы,2462.76,available
16,Малый концертный зал,76,"Зал для камерных выступлений, академических прослушиваний и занятий ансамбля",3269.69,available
17,Репетиционная комната №3,13,Помещение для репетиций малых составов и подготовки концертных номеров,994.51,inactive
18,Репетиционная комната №4,18,Помещение для репетиций малых составов и подготовки концертных номеров,1286.56,occupied
19,Класс сольфеджио,20,Учебный класс для теоретических дисциплин и практических занятий,1378.99,available
20,Аудитория концертмейстеров,12,Учебное музыкальное помещение университета,1333.37,inactive
