booking_id,equipment_id,unit_price
2.00,43.00,109.47
2.00,86.00,113.28
3.00,12.00,1298.03
3.00,17.00,930.32
4.00,22.00,1024.59
6.00,63.00,1122.59
7.00,3.00,981.78
7.00,53.00,1895.10
8.00,42.00,230.05
8.00,63.00,1064.91
9.00,47.00,770.30
9.00,54.00,124.84
11.00,33.00,1970.91
12.00,2.00,86.00
12.00,36.00,176.67
12.00,70.00,273.06
13.00,18.00,1014.65
13.00,66.00,1809.56
13.00,73.00,455.89
15.00,22.00,800.35
17.00,33.00,3921.01
20.00,7.00,131.47
20.00,62.00,2726.11
22.00,12.00,1233.35
22.00,61.00,3458.69
22.00,86.00,237.89
23.00,59.00,489.00
26.00,14.00,226.56
26.00,27.00,1718.44
27.00,81.00,343.86
27.00,86.00,167.07
29.00,3.00,1100.40
29.00,20.00,210.56
29.00,24.00,106.57
29.00,54.00,52.97
29.00,66.00,2846.08
31.00,70.00,137.25
33.00,17.00,514.64
36.00,33.00,1879.51
36.00,84.00,641.26
37.00,84.00,1425.41
38.00,18.00,1452.52
39.00,36.00,113.60
39.00,39.00,4727.98
41.00,38.00,124.93
41.00,66.00,4996.45
43.00,2.00,139.82
43.00,70.00,114.51
45.00,6.00,234.84
45.00,20.00,293.47
45.00,51.00,4403.10
46.00,62.00,2884.64
46.00,63.00,633.74
47.00,7.00,63.13
49.00,6.00,174.26
49.00,18.00,606.41
49.00,63.00,991.62
50.00,2.00,108.81
50.00,6.00,145.70
50.00,20.00,155.62
50.00,31.00,1619.15
51.00,66.00,1595.54
52.00,27.00,4641.35
52.00,50.00,662.78
53.00,3.00,1124.46
53.00,6.00,275.90
53.00,30.00,1155.48
54.00,2.00,94.72
54.00,3.00,436.60
54.00,24.00,285.82
54.00,31.00,2502.99
54.00,36.00,245.18
54.00,70.00,220.72
55.00,3.00,609.89
55.00,39.00,4862.03
55.00,42.00,231.10
56.00,42.00,206.63
56.00,54.00,233.11
59.00,50.00,452.87
60.00,12.00,411.75
61.00,17.00,1139.54
63.00,20.00,115.31
63.00,42.00,172.86
65.00,17.00,1394.70
65.00,29.00,2228.83
65.00,86.00,293.80
66.00,54.00,78.96
66.00,63.00,1012.57
66.00,70.00,161.79
67.00,47.00,586.29
67.00,70.00,77.19
68.00,2.00,281.36
68.00,30.00,1135.00
68.00,42.00,137.41
68.00,53.00,2332.82
68.00,62.00,4627.54
70.00,2.00,194.48
72.00,11.00,3405.84
73.00,20.00,102.71
73.00,36.00,243.42
73.00,70.00,200.03
75.00,12.00,1353.34
75.00,29.00,2290.09
75.00,86.00,175.16
76.00,29.00,3432.18
76.00,43.00,185.88
76.00,81.00,1073.30
78.00,7.00,234.37
78.00,51.00,4747.26
78.00,62.00,2554.78
78.00,63.00,1375.11
79.00,1.00,427.11
79.00,88.00,1096.48
80.00,20.00,120.56
80.00,53.00,4290.39
81.00,18.00,906.72
81.00,30.00,1032.36
81.00,38.00,266.69
81.00,70.00,283.47
88.00,33.00,3508.88
90.00,3.00,924.78
90.00,6.00,135.71
90.00,39.00,2001.53
91.00,12.00,862.64
91.00,86.00,160.28
92.00,12.00,456.09
92.00,43.00,104.60
95.00,73.00,508.09
96.00,3.00,1055.16
96.00,39.00,1883.94
96.00,51.00,4122.67
96.00,73.00,1335.21
100.00,1.00,1087.58
101.00,43.00,243.29
103.00,6.00,133.32
103.00,24.00,270.64
103.00,42.00,188.77
103.00,54.00,163.43
106.00,12.00,1127.94
106.00,17.00,985.64
106.00,21.00,144.67
106.00,61.00,3318.97
106.00,86.00,151.05
107.00,12.00,1298.45
107.00,14.00,284.63
107.00,27.00,4502.50
109.00,24.00,62.23
109.00,54.00,252.00
111.00,22.00,928.58
114.00,22.00,1208.49
115.00,84.00,1449.35
117.00,3.00,408.64
117.00,36.00,183.19
117.00,53.00,2043.85
118.00,6.00,209.70
118.00,20.00,274.00
118.00,24.00,287.62
118.00,31.00,2672.39
118.00,36.00,55.62
118.00,53.00,3359.40
118.00,66.00,3502.99
